城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
2,7,10,62,129,1,2,1400,0,1,1,1,2,0,2,2,8,2,0,1,1,2,1
2,2,5,63,22,1,2,1300,3,1,0,1,2,12,2,3,6,1,0,1,1,2,1
2,2,32,64,25,1,1,1200,0,1,1,1,2,0,2,-2,5,1,0,1,1,2,1
2,5,40,65,15,2,2,1000,3,4,1,1,2,10,3,3,17,2,1,1,1,2,1
2,1,41,66,89,1,2,2000,3,2,1,1,2,24,2,2,24,2,0,1,1,2,1
2,4,23,67,12,2,4,1090,1,3,1,1,2,12,3,3,5,1,2,1,1,2,0
2,7,14,68,27,2,4,1000,0,1,1,0,2,12,2,2,6,1,0,1,1,2,1
2,5,40,60,25,2,6,1600,3,3,1,2,2,12,3,3,50,2,0,1,1,1,1
2,6,7,69,90,1,2,1000,0,2,1,1,2,0,2,3,18,2,0,1,1,2,1
2,2,42,70,20,1,3,800,0,1,0,1,2,0,2,3,6,1,0,1,1,2,1
2,4,43,71,18,1,4,800,0,1,1,1,2,0,2,3,7,1,0,1,1,2,1
2,2,5,72,32,1,2,1000,0,1,1,1,2,0,2,3,8,1,0,1,1,2,1
2,7,11,73,28,2,4,900,0,2,0,1,2,0,2,3,5,1,0,1,1,2,1
2,5,40,60,25,2,6,1600,3,3,1,2,2,12,3,3,50,2,0,1,1,2,1
2,2,22,74,25,2,3,800,0,1,0,1,2,12,2,3,8,1,0,1,1,2,1
2,10,44,75,16,2,2,955,3,3,1,1,2,7,3,3,6,1,1,1,1,2,1
2,2,22,76,74,1,2,1200,0,2,1,1,2,0,2,2,6,1,0,1,1,2,1
2,2,5,77,20,2,2,1210,3,3,1,1,2,24,3,3,6,1,0,1,1,2,1
2,5,16,78,43,1,2,2000,1,1,1,1,2,12,2,3,6,1,0,1,1,2,1
2,9,19,27,20,2,2,1100,3,3,1,1,2,12,3,3,6,1,1,1,1,2,1
2,10,45,79,26,1,1,1200,0,1,1,1,2,0,2,3,8,2,0,1,1,2,1
2,10,46,80,12,2,2,1190,1,3,1,1,2,12,3,3,34,0,0,0,0,0,0
2,7,47,81,26,1,2,1000,0,1,0,0,2,0,2,3,5,1,0,1,1,2,1
2,12,48,82,9,2,4,860,1,4,1,1,2,12,3,3,17,0,0,0,0,0,0
2,4,49,83,48,1,3,1000,0,1,1,1,2,0,2,3,31,2,0,1,1,2,1
2,7,50,84,42,1,2,1000,0,2,1,1,2,0,2,1,6,1,0,1,1,2,1
2,4,51,85,40,1,2,1200,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,7,29,40,41,1,2,1300,0,1,1,1,2,0,2,3,8,2,0,1,1,2,1
2,12,48,82,9,2,4,860,1,4,1,1,2,12,3,3,17,0,0,0,0,0,0
2,12,48,82,13,2,2,990,1,3,1,1,2,12,3,3,18,0,0,0,0,0,0
2,12,48,82,14,2,2,1030,1,3,1,1,2,12,3,3,11,0,0,0,0,0,0
2,7,47,86,54,1,2,1400,0,2,1,1,2,0,2,1,7,1,0,1,1,2,1
2,7,14,87,32,1,2,1500,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,3,20,88,88,1,2,800,0,3,1,1,2,0,2,1,9,1,0,1,1,2,1
2,7,11,89,25,1,2,800,0,1,1,1,2,0,2,3,5,1,0,1,1,2,1
2,12,48,82,11,2,2,960,1,4,1,1,2,12,3,3,16,1,0,1,1,2,0
2,12,48,82,11,2,2,1030,1,4,1,1,2,12,3,3,15,0,0,0,0,0,0
2,4,25,90,17,2,1,1190,3,3,1,1,2,12,3,3,28,2,2,1,1,2,1
2,9,19,91,18,1,2,950,0,1,0,1,2,0,2,2,6,1,0,1,1,2,1
2,13,52,92,83,1,2,900,0,2,2,1,2,0,2,3,33,2,0,1,1,2,1
2,12,48,93,92,1,2,1000,0,2,2,1,2,0,2,2,11,1,0,0,0,2,1
2,7,30,94,35,1,2,1300,0,1,1,1,2,0,2,3,6,1,0,0,0,2,1
2,4,43,95,8,2,3,1030,1,3,1,1,2,12,3,3,6,0,0,0,0,0,0
2,2,22,96,21,2,2,1280,3,2,1,1,2,12,3,3,6,1,2,1,1,2,1
2,7,21,97,11,2,2,1460,1,2,1,1,2,12,3,3,6,0,0,0,0,0,0
2,2,27,98,26,1,2,1100,0,1,0,1,2,0,2,2,5,1,0,1,1,2,1
2,13,53,99,65,1,2,850,0,2,1,1,2,0,2,3,4,1,0,0,0,2,1
2,7,54,100,24,1,3,1300,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
2,2,22,101,12,1,2,1150,0,1,1,1,1,0,2,3,6,1,0,1,1,2,1
2,7,47,102,11,2,4,1490,1,2,1,1,2,12,3,3,6,0,0,0,0,0,0
2,4,55,103,18,2,2,1150,3,2,1,1,2,12,3,3,2,1,1,1,1,2,1
2,7,29,46,27,1,3,1500,0,1,1,1,2,0,2,2,8,1,0,1,1,2,1
2,2,22,101,38,1,3,1200,2,1,1,1,2,12,2,3,8,1,0,1,1,2,1
2,5,56,104,32,1,1,1500,1,1,1,1,2,12,2,3,8,1,0,1,1,2,1
2,13,53,105,54,1,2,900,0,1,1,1,2,0,2,2,30,2,0,1,1,2,1
2,6,7,106,17,2,2,850,3,3,1,1,2,1,3,3,6,1,1,1,1,2,1
2,7,10,107,21,1,2,1100,0,1,1,1,2,0,2,3,7,1,0,1,1,2,1
2,7,29,108,11,2,2,1390,1,4,1,2,2,12,3,3,6,0,0,0,0,0,0
2,6,18,109,84,1,2,800,0,2,1,1,2,0,2,3,6,1,0,1,1,2,1
2,10,26,110,38,1,2,1150,0,1,1,1,2,0,2,3,6,1,0,1,1,2,1
